X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
78.0081,27.1767,train,6.12367919803944E-4,41.80611961535832,0.6733792227353881
79.9137,27.0514,train,7.236102724035407E-4,62.30216665882446,0.7334581998496792
78.3957,27.1592,train,6.280498035784892E-4,45.03042312872378,0.6826056794034102
78.0492,27.5981,train,6.370573172777544E-4,46.2308408336172,0.6877869386231327
79.584,27.3826,train,6.980921949341718E-4,58.13409761371979,0.7207355323925948
78.088,27.8974,train,6.635662014505903E-4,51.54762411222057,0.7025496808209142
79.0277,26.7829,train,6.51918604666554E-4,49.11202256013656,0.6961511402571484
79.0252,27.2282,train,6.459115148898561E-4,47.77940813616992,0.6927975668931186
81.8463,25.4358,train,7.827175946981462E-4,74.09342331110469,0.7607457900584964
79.9147,27.8753,train,7.785286810230081E-4,73.44815913358164,0.7589074555787442
79.1271,28.0311,train,7.361354697153322E-4,64.54684835022177,0.7394892085478144
81.1834,26.9268,train,7.16683535517754E-4,61.09964652578926,0.7300631534344395
80.125,27.3965,train,7.898130911981258E-4,75.05661424069879,0.7638277743099526
80.2321,26.4148,train,6.678769517500411E-4,52.50603447948345,0.7048834525144475
77.6737,27.4924,train,6.215310253020249E-4,43.82196249485525,0.6788024295579144
82.6837,25.7464,train,8.344486287628418E-4,81.78455583179844,0.782325555954087
78.5718,28.5904,train,6.883194755251106E-4,56.78568358774468,0.7157038302713069
87.3811,22.408,train,4.966937898794952E-4,29.191186211766173,0.5965040216134583
87.0784,23.2313,train,5.767642064049904E-4,36.51744184484132,0.6514237359971213
88.3899,22.9012,train,6.850497526626766E-4,55.718350738262515,0.7140001803733285
88.7196,26.5215,train,7.790237960011008E-4,73.54001588425336,0.7591254742978351
87.8615,23.2324,train,6.162467636171687E-4,42.54606530736434,0.6756860141277395
89.4482,26.3452,train,7.888106815910283E-4,74.84312327853114,0.7633947899375336
85.4788,25.2622,train,7.330729079096643E-4,64.22426279151215,0.7380272781320373
85.1376,25.5941,train,7.445157860327928E-4,66.31954325192058,0.7434480268665294
85.355,25.6838,train,8.093170073304961E-4,78.57730169010802,0.7720964346582325
84.7381,25.7765,train,8.020435055730833E-4,77.25968121558525,0.7690472462901897
85.391,26.1197,train,7.84267213013165E-4,74.26903733459665,0.761422293464413
84.3542,27.1543,train,7.804691684791933E-4,73.79952823683648,0.7597608018006546
85.7868,25.856,train,7.668231169225406E-4,71.35387896749546,0.7536951559799756
84.4366,26.4832,train,8.09849480349115E-4,78.66868821689098,0.7723180694027226
84.8568,26.6098,train,7.89682525423283E-4,75.02880612390389,0.7637714221771077
86.0712,26.3483,train,7.635623805775266E-4,70.91095965390627,0.752223238485457
84.0167,25.0686,train,8.826582045106479E-4,88.32408590175146,0.8006804860046446
84.36,26.2243,train,8.350847769185599E-4,81.9718473225666,0.7825784355010882
86.1272,25.4182,train,7.774817663480017E-4,73.25394090309322,0.7584458076286789
84.5222,25.4662,train,7.856962094501562E-4,74.50462419092175,0.7620444426011025
86.9842,25.2425,train,6.449013987543118E-4,47.6152465424211,0.6922300259500892
85.8918,26.1542,train,7.812450299214118E-4,73.90504846087114,0.7601011477635484
86.5928,25.8774,train,7.484446855176489E-4,67.24337557855863,0.7452832490971406
87.5591,25.5541,train,6.392505475617669E-4,46.5517980209067,0.6890356605286752
86.4734,25.3708,train,7.470255261534719E-4,66.7956318868668,0.7446218672458607
71.7622,24.3455,train,3.641297463406649E-4,18.64627316867178,0.4859114576398025
73.7478,25.2235,train,3.867528567749396E-4,20.457090985851515,0.5067297470119511
75.8577,22.7196,train,3.298655416945031E-4,15.746017635857827,0.45269560579614065
76.273,23.4273,train,3.8068239472182676E-4,20.036004426296696,0.5012277804844364
75.7885,23.1765,train,3.3082898736550557E-4,15.810392970311806,0.4536582688809321
78.9382,22.0574,train,6.376154045932636E-4,46.308932250473674,0.6881051620701233
78.7378,23.8388,train,6.103285741028026E-4,41.6163737892339,0.6721598275679799
76.0534,22.9676,train,3.4299083929360233E-4,16.737927216515686,0.4656656353599513
77.994,26.4947,train,5.732817762403411E-4,35.99998710442562,0.6491985664297109
80.3894,23.8343,train,5.482590870792225E-4,33.63617619885075,0.6327865416821083
75.5762,31.326,train,6.852410393780961E-4,55.75607350314687,0.7141001285899907
75.9115,31.5143,train,7.110101442008086E-4,60.10745901872844,0.7272502271838133
75.8573,30.901,train,7.541091444732959E-4,68.81214952844226,0.7479060823886818
75.4018,31.3723,train,6.761515426614537E-4,53.96272564202111,0.7093120007419033
74.8723,31.634,train,5.970625332585758E-4,39.51084285587051,0.6641157125880136
75.1734,30.823,train,6.867691365091222E-4,56.510558351055366,0.7148973135819991
76.8783,29.9695,train,7.199171806108755E-4,61.44324610145921,0.731653429313974
77.2674,30.129,train,7.057557867301034E-4,59.22434741551234,0.7246189239053957
77.0151,28.9931,train,6.747292686962614E-4,53.63190602588625,0.7085555594993667
76.7821,30.3752,train,7.512569004934943E-4,68.01065734184141,0.7465887916605733
90.2667,26.4014,train,6.610033586874883E-4,50.7125071306632,0.7011534601220424
90.9821,26.3216,train,9.6842550104465E-4,95.00440770967708,0.8295929522046798
92.8577,26.6739,train,0.0010028639395228162,96.1959929133138,0.8399858916819575
92.0959,26.746,train,0.0013296140999212896,99.863761986158,0.9119236150850679
92.0273,26.4523,train,0.0010213704161967235,96.90950549485743,0.8453064842976926
92.6838,26.348,train,9.003910495367501E-4,90.81554410952239,0.8070354266234027
89.9743,26.0207,train,6.611498107740489E-4,50.74611803377777,0.7012334225669679
94.1514,27.2064,train,6.854715911446245E-4,56.00891487613208,0.7142205465639371
91.4411,26.4446,train,0.001018546299534748,96.79278690963754,0.8445061412657215
91.5984,26.3161,train,9.344860503977634E-4,93.29708308668967,0.8186903797821028
90.6939,26.5387,train,8.649633729744727E-4,85.55853445469833,0.7941305571625444
83.1649,22.9494,train,8.842476275095648E-4,88.76550937506366,0.8012585277244846
83.6109,23.6112,train,9.066900547098815E-4,91.21456615401225,0.8092437007096247
82.1409,22.0797,train,3.886068812166372E-4,20.597704845754375,0.5083980130869339
81.9339,19.2073,train,2.3619481255520894E-4,8.239329661377257,0.3505239794780297
72.5714,23.0225,train,3.2651112566436463E-4,15.546330013611295,0.4493306613567387
72.9289,22.5645,train,4.940320654172881E-4,28.8968446430754,0.5945367730209257
72.9933,23.8477,train,3.9412603472090444E-4,21.036750050187724,0.5133308687316993
72.6847,22.7507,train,4.7470209466977774E-4,27.2895224401548,0.5799595279563821
72.3693,23.588,train,4.0447636813907735E-4,21.706777587535477,0.5224486283681438
73.1812,22.3072,train,2.19262769051352E-4,6.735423492587975,0.33011559777472554
70.0577,22.4707,train,5.683079440978668E-4,35.42800698296841,0.6459957806175891
69.8597,23.7337,train,4.5470450320304483E-4,25.826446688311663,0.5643270399811255
86.2996,24.1913,train,7.377606273898813E-4,64.96544712895535,0.740261670187015
85.3637,23.9925,train,9.612749132287343E-4,94.81135708988151,0.8273518069430407
85.3096,23.3441,train,8.893598526898241E-4,89.70551215815456,0.803106400142103
86.1511,23.6693,train,7.468014659913015E-4,66.73968939853766,0.7445172898946517
84.5379,23.0441,train,8.405653281213076E-4,82.53895700176345,0.7847449143370403
73.8567,18.5204,train,3.597198832248763E-4,18.281984665655894,0.4817522140902736
74.0183,17.6805,train,3.2673920670652103E-4,15.55990762610137,0.44956011236274773
77.5946,12.9716,train,3.5133345220552097E-4,17.558602768459384,0.4737493237232404
74.4977,15.8497,train,4.476519628707707E-4,25.027077398138132,0.5586762663954314
75.772,13.3161,train,5.405588985905192E-4,32.80229869508027,0.6275832374261989
75.0078,15.4589,train,7.641778050425317E-5,1.536202884012524,0.13032453303049363
76.1004,13.0033,train,3.1180694342353437E-4,14.600551757548564,0.43433451726204153
78.1291,13.1362,train,4.065008068009729E-4,21.87621823120908,0.5242119116058626
78.4354,30.7268,train,2.754899508727976E-4,11.514859612049765,0.3955230878370122
78.0322,30.3165,train,7.363381981760328E-4,64.56589590203957,0.7395856936768268
79.4542,29.3919,train,7.526049253204065E-4,68.31425119226891,0.747212223994232
78.4325,30.3739,train,6.867495693094395E-4,56.50386281294325,0.7148871197345925
78.8383,29.8688,train,7.490159082491569E-4,67.53837872355724,0.745548976738788
79.5603,30.2937,train,5.401789730424802E-4,32.766892256178245,0.6273246074534082
85.8312,19.8135,train,1.9430835613782536E-4,5.275065493280413,0.2988629549778481
85.883,20.4625,train,2.967438823110047E-4,13.276606777545151,0.4185488191760618
84.0167,20.1342,train,9.606198446160916E-4,94.74960232787299,0.8271450266468774
86.4187,22.0087,train,7.53745089784207E-4,68.67213010341901,0.7477383280220543
86.9135,21.4934,train,5.14912396889907E-4,30.7254880698782,0.6097153336220209
83.9812,21.4669,train,3.637896719809553E-4,18.624467825532268,0.4855919015232001
82.7347,18.8561,train,6.31312654659724E-4,45.45385789877451,0.6844923790857189
77.8908,26.6966,train,5.87858419107619E-4,38.26836555007919,0.6584189354439927
77.503,27.2152,train,4.986648480371325E-4,29.383517530107326,0.5979546533558454
73.88,29.9094,train,3.61340733176523E-4,18.443141954588143,0.4832848453389864
75.8648,25.2138,train,5.569916990355436E-4,34.2645597562803,0.6385995744632817
72.8575,24.8852,train,2.9641506310417197E-4,13.249828123904344,0.41819935610518866
76.161,24.5973,train,4.5383876014903223E-4,25.735308325766102,0.563637287043731
